# Cameras
# PhotoID, q0,  q1,  q2,  q3,  x,  y,  z  
1623298062.606874 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
1623298106.606869 0.0043901 -0.0228441 0.0360142 0.0040341 -0.0032257 0.0069441 0.9999626
1623298107.606881 0.0039457 -0.0232803 0.0372971 0.0035608 -0.0028946 0.0068344 0.9999661
1623298120.606869 0.0009919 -0.0311519 0.0490434 -0.0002496 -0.0010430 0.0041520 0.9999908
1623298147.606879 -0.0031922 -0.0501229 0.0697244 -0.0021351 -0.0018007 -0.0012216 0.9999954
1623298207.606876 0.0076134 -0.0775833 0.1228865 0.0026975 -0.0109657 0.0160041 0.9998081
1623298276.606876 0.0065979 -0.1171143 0.1657616 0.0200712 -0.0121256 0.0175396 0.9995711
1623298346.606890 0.0059768 -0.1539121 0.2339482 0.0094485 -0.0260319 0.0211916 0.9993918
1623298444.606869 0.0044801 -0.2084282 0.3200669 0.0003145 -0.0303283 0.0253663 0.9992180
1623298568.606869 -0.0078250 -0.2788590 0.4292617 -0.0019252 -0.0319112 0.0226457 0.9992323
